Ambit_InchiKey,Original_Entry_ID,Entrez_ID,Activity_Flag,DB,Original_Assay_ID,Tax_ID,Gene_Symbol,Ortholog_Group,SMILES,predicted_pXC50
WIKYUJGCLQQFNW-UHFFFAOYNA-N,CHEMBL728,6532,A,chembl20,774720,9606,SLC6A4,4061,N1(C=2C(=CC=C(C2)Cl)SC=3C1=CC=CC3)CCCN4CCN(CC4)C,6.7676896333333305
NLHMBBKPLFEDFA-UHFFFAOYNA-N,10502796,6532,A,pubchem,739022,9606,SLC6A4,4061,FC(F)(F)C1=CC(COCC2(CCN(CC2)C)C3=CC=CC=C3)=CC(=C1)C(F)(F)F,7.126402396666663
MZTLLFJYLUUPPP-UHFFFAOYNA-N,54757021,6532,A,pubchem,619832,9606,SLC6A4,4061,S1(=O)(=O)N(CCC2OCCNC2)C3=C(N1C=4C(F)=CC=CC4)C=CC=C3F,6.073119223333335
CKTRVQRYRAVIKV-UHFFFAOYNA-N,72793695,25553,A,pubchem,1058866,10116,SLC6A4,4061,FC1=CC=C(C2(OCC3=C2C=CC(=C3)C#N)CCCN(CC=4C=5C(NC4)=CC=C(OC)C5)C)C=C1,5.831749466666671
CMZUAEAPKGOQSL-HVXXBKQBNA-N,CHEMBL60167,25553,A,chembl20,192825,10116,SLC6A4,4061,N=1C2=C(C=CC=C2)C(N)=C3C1C4=C(C3)C=CC=C4,5.780848133333333
IMZCHCXDRQUXNY-UHFFFAOYNA-N,CHEMBL336562,25553,A,chembl20,201964,10116,SLC6A4,4061,S1C(=CC=C1C)C(CCN2CCN(CC2)C=3C(OC)=CC=CC3)O,6.225682700000004
GPTFOAJWBIXTMY-UHFFFAOYNA-N,CHEMBL66068,6532,A,chembl20,201370,9606,SLC6A4,4061,C1(C(C2=CC(I)=CC=C2)CC3NC1CC3)C(=O)OC,8.514090000000003
HIWRPROZZGDETH-ROUUACIJNA-N,CHEMBL538053,25553,A,chembl20,184250,10116,SLC6A4,4061,[C@@H]([C@H](C1CCCCC1)O)(C2=CC=C(C=C2)OC)CN(C)C,7.178134246666661
ABKFNWSCLGGDOH-SREBMQDQNA-N,CHEMBL1086755,6532,A,chembl20,617082,9606,SLC6A4,4061,C=1C=C(C=CC1)C2=CC(=C(N2CC)C)C(NCCCN3CCN(CC3)C4=C(C(=CC=C4)Cl)Cl)=O,6.696617599999999
BQKJZLWSHJKTJH-SFHVURJKNA-N,CHEMBL417782,25553,A,chembl20,201966,10116,SLC6A4,4061,C1(=CC=2C(F)=CC=CC2S1)C3CCN(CC3)C[C@@H](COC=4C5=C(NC(=C5)C)C=CC4)O,7.588439399999996
VZLIWDYGGZDESG-LBOYIXSDNA-N,CHEMBL457750,25553,A,chembl20,536731,10116,SLC6A4,4061,C=1C(=C2CC(COC2=C(C1)F)N(CCCC=3C=4C(NC3)=CC=C(C4)F)CCC)C(NC)=O,7.500124902380958
HBCIRTUVEMENFI-UHFFFAOYNA-N,10094793,25553,A,pubchem,204237,10116,SLC6A4,4061,FC1=CC=C(C(OCCN2CCN(CC2)CCCC=3OC=CC3)C4=CC=C(F)C=C4)C=C1,6.862303014285717
RJVNCNHNNCNEMX-UHFFFAOYNA-N,25166858,25553,A,pubchem,343840,10116,SLC6A4,4061,N1CC2(C(C2)C1)C3=CC=4C(=NC=CC4)C=C3,7.502259711666666
MCHASZRLOYWYKB-LBOYIXSDNA-N,CHEMBL1213931,6532,A,chembl20,647228,9606,SLC6A4,4061,C1(=C(N(C)C(=C1)C2=CC=CC=C2)C)C(=O)NCCCN3CCN(CC3)C=4C(Br)=CC=CC4,7.0258866000000015
SSEYJTZXHQMBJU-UHFFFAOYNA-N,CHEMBL316585,25553,A,chembl20,201831,10116,SLC6A4,4061,C1(C2C3N(C)C(CC2C=4C=CC(=CC4)C)CC3)=CC(C=5C=CC=CC5)=NO1,5.547129500000002
QGDLULRBFVJDIF-PKRZOPRNNA-N,CHEMBL3216298,6532,A,chembl20,766795,9606,SLC6A4,4061,N1(CCN(CC1)C=2C(=C(C=CC2)C)C)CCCNC(C=3N=C(N(C3C)C4=CC=CC=C4Cl)C)=O,8.111450900000001
JBCSXADGPCPQQF-DUXPYHPUNA-N,CHEMBL1202019,25553,A,chembl20,3516,10116,SLC6A4,4061,FC1=CC=C(C=C1)C(OCCN2CC3CCC(C2)N3C/C=C/C=4C=CC=NC4)C5=CC=C(F)C=C5,6.469589100000003
IAXQDXIYZZJWKO-MAUKXSAKNA-N,CHEMBL344513,6532,A,chembl20,198188,9606,SLC6A4,4061,[C@@H]1(C2=C(C=CC=C2)[C@@H](C1)NC(C)(C)C)C=3C=C(Cl)C(=CC3)Cl,6.335212828571421
BKQSBMKFNNGLCD-NEPJUHHUNA-N,CHEMBL198018,6532,A,chembl20,320797,9606,SLC6A4,4061,C1([C@@H]2[C@@H](CN(C)C)C2)=CNC3=C1C(C#N)=CC=C3,8.186856753333336
UOYCRTSDCOOGLE-UHFFFAOYNA-N,CHEMBL2407321,6532,A,chembl20,974163,9606,SLC6A4,4061,OS(O)(=CC(C1CCNCC1)C2=CC(=C(C=C2)Cl)Cl)=C,7.641116038333336
JBNQPDCVQXSXPZ-HXUWFJFHNA-N,CHEMBL211363,6532,A,chembl20,536732,9606,SLC6A4,4061,C1=CC=C2OC[C@@H](CC2=C1OC)N(CCCC=3C=4C(NC3)=CC=C(C4)F)C5CCC5,6.899471057142851
DTTQTDUZOHHUFF-DDJHWDJXNA-N,CHEMBL2112057,25553,A,chembl20,303160,10116,SLC6A4,4061,[C@H]1(OCC(C(C1)O)NCCC=2C=CC(=CC2)F)C(C3=CC=CC=C3)C4=CC=CC=C4,5.647522433333336
UWHKVOABKKOHHU-UHFFFAOYNA-N,CHEMBL220247,6532,A,chembl20,423470,9606,SLC6A4,4061,C(C1=CC=C(C=C1)Cl)(CC(C)C)C2NCCCC2,5.777535799999996
WYYIFGYFQYWQOA-UHFFFAOYNA-N,CHEMBL1645605,6532,A,chembl20,698907,9606,SLC6A4,4061,C=1(C(=C(OC2=CC=CC(=C2Cl)Cl)C=CC1)OC3CNC3)F,5.9754926999999975
DZEOBMAMUUMJNJ-SJCJKPOMNA-N,44587487,6532,A,pubchem,362063,9606,SLC6A4,4061,ClC=1C(O[C@H]2[C@H](COC=3C2=CC=CC3)CNC)=CC=CC1,5.797682655
GCOMVGGFTNTLHZ-VQCQRNETNA-N,CHEMBL108886,25553,A,chembl20,201805,10116,SLC6A4,4061,C1([C@H](CCN(C1)CCCC2=CC=CC=C2)C3=CC=C(C=C3)Cl)C(=O)OC,5.679011116666674
LCIIRLMFWOLXDF-SFQUDFHCNA-N,44401643,25553,A,pubchem,238667,10116,SLC6A4,4061,FC=1C(C2=CC=C(/C=C\3/C4C(C5N(C(C4)CC5)C3)C(OC)=O)C=C2)=CC=CC1,6.3121038000000045
LXDDMNMCPHMWJN-ZOIVMXBYNA-N,CHEMBL605213,6532,A,chembl20,611006,9606,SLC6A4,4061,C=1C=C(C=C([C@H](N2C3=C(CC2C)C=CC=C3)[C@H](O)CNC)C1)F,6.428090225000001
RYTIZBPXUHTIDS-UHFFFAOYNA-N,44568691,6532,A,pubchem,339486,9606,SLC6A4,4061,ClC=1C=C(C(=O)C2=C(CN(C)C)C=CC=C2)C=CC1Cl,7.276774535952382
LMRSIESFCISDEV-UHFFFAOYNA-N,CHEMBL301174,25553,A,chembl20,201967,10116,SLC6A4,4061,C1(C2N(C)C(CC1C=3C=CC(C4=CC(N(=O)=O)=CC=C4)=CC3)CC2)C(=O)OC,7.803286799999999
HKHCSWPSUSWGLI-UHFFFAOYNA-N,16068204,25553,A,pubchem,343840,10116,SLC6A4,4061,N1CC2(C(C2)C1)C3=CC=4C(C=C3)=CC=CC4,7.409941373690476
HVLZZLCPCRNKEL-JKYAZJQKNA-N,CHEMBL2310879,25553,A,chembl20,202136,10116,SLC6A4,4061,C1([C@@H]2N(C)C(C[C@@H]1C=3C=CC(=CC3)C(C=4C=CC=CC4)=C)CC2)C(=O)OC,7.116076582106785
CLDXJLMEWNXPIV-UHFFFAOYNA-N,CHEMBL208178,6532,A,chembl20,355134,9606,SLC6A4,4061,C1(CN(CCCOC)C2CCNCC2)=CC=CC=C1C(F)(F)F,8.522736299999995
FDLYZRZFIQWFJX-LELJVTLKNA-N,86302500,25553,A,pubchem,1140140,10116,SLC6A4,4061,ClC=1C=C(C(=O)NC2=CC=C(OC(CCN(C)C)C3=CC=CC=C3)C=C2)C=CC1C,7.2429946
HUGQKIWTNMQGCP-QGZVFWFLNA-N,44578272,6532,A,pubchem,342390,9606,SLC6A4,4061,S(=O)(=O)(N([C@@H]1CCNC1)CC=2C(C3=CC=CC=C3)=CC=CC2)C,5.389143299999995
LIXNFPLJNWIWDI-UHFFFAOYNA-N,CHEMBL462387,6532,A,chembl20,558173,9606,SLC6A4,4061,C=1C=C(C(OC2=CC=C(C=C2)Cl)=CC1Cl)CNC,8.018903849999996
JXHSVQARNSBQLW-UHFFFAOYNA-N,9865114,25553,A,pubchem,242088,10116,SLC6A4,4061,O(C1=CC=C(N2CCN(CC2)CCCCC=3C=4C(NC3)=CC=C(C4)C#N)C=C1)C,8.84194603333334
QKJSLGBMXQASRH-ZWKOTPCHNA-N,CHEMBL454675,6532,A,chembl20,558434,9606,SLC6A4,4061,C1=CC=C2C(=C1)[C@@H]([C@@](O)(C2)CNC)OC3=CC=CC=C3OC,5.9794202
GDNVOHWHFZMSOP-SREBMQDQNA-N,54576371,6532,A,pubchem,616784,9606,SLC6A4,4061,OC(CN1CCN(CC1)C=2C(=C(C=CC2)C)C)CNC(=O)C=3N=C(N(C3C)C4=CC(OC)=C(OC)C=C4)C,7.849173949999996
CKIBSEDGQQBNJP-UHFFFAOYNA-N,CHEMBL247670,25553,A,chembl20,454634,10116,SLC6A4,4061,C1=CC(=CC=C1OC)C2CNCC=3C=C(N=CC32)OCC4CCN(CC4)C(C)C,7.688969833333333
FLDLQCILZSMNPF-BGTNVORWNA-N,CHEMBL2112061,25553,A,chembl20,303160,10116,SLC6A4,4061,[C@@H]1(OC[C@H](C(C1)O)NCC=2C=CC(=CC2)F)C(C3=CC=CC=C3)C4=CC=CC=C4,5.48528256666667
RHNJZLARQGOLRU-UHFFFAOYNA-N,CHEMBL153185,25553,A,chembl20,201814,10116,SLC6A4,4061,C(OC=1C=CC(=CC1)F)(C=2C=CC(=CC2)Cl)C3CCNCC3,8.84430203333332
WEKVVEUCXILQOT-UHFFFAOYNA-N,CHEMBL565594,6532,A,chembl20,595696,9606,SLC6A4,4061,C1=CC(=CC(=C1)Cl)C(=O)C(NC(C)(C)C)CC(C)C,5.974567571666667
YSPPECQFRDJSGQ-ISKFKSNPNA-N,44441073,25553,A,pubchem,308578,10116,SLC6A4,4061,O(C1=CC=2[C@@H]3N(CCC3)C[C@H](C2C=C1)C4=NC=CC=C4)CCCN5CCOCC5,7.502885816666665
HGUJUMWPWRLWAO-LBOYIXSDNA-N,44568357,25553,A,pubchem,339528,10116,SLC6A4,4061,N1(C2CCC(CC2)C=3C=4C(NC3)=CC=CC4)CCN(CC1)C=5C=6N=C(NC6C=CC5)C,7.3087866266666675
YXCWXVXALVIDQG-IBGZPJMENA-N,44299511,6532,A,pubchem,263905,9606,SLC6A4,4061,S1C(C2CCN(CC2)C[C@H](O)COC=3C4=C(NC=C4)C=CC3)=CC5=C1C=C(F)C=C5,8.339866666666676
PQMJWYCYCSXLGZ-JJLQDPRZNA-N,CHEMBL2021583,6532,A,chembl20,613741,9606,SLC6A4,4061,[C@@H]12CCC[C@@H]1[C@]2(COCC)C=3C=C(C(=CC3)Cl)Cl,8.585005033333333
MCHVXQNUHBOZIA-CXAGYDPINA-N,71562478,6532,A,pubchem,731054,9606,SLC6A4,4061,ClC1=C(O[C@@H]([C@@H]2CCNC2)C3=CC=CC=C3)C=CC=C1Cl,7.983100958333336
UHXIHVPCQYVYLG-ZDUSSCGKNA-N,CHEMBL449145,6532,A,chembl20,513531,9606,SLC6A4,4061,C(N(CC=1C=CC(=CC1Cl)Cl)[C@@H]2CNCC2)(=O)C(C)(C)C,7.398929766666671
VRHDCZABKKGHEU-UHFFFAOYNA-N,CHEMBL435612,6532,A,chembl20,201349,9606,SLC6A4,4061,N1C=C(CCNCCOC2=C3C(CCO3)=CC(=C2)F)C=4C1=CC=C(F)C4,7.493436966666665
